Year	Agency	Category	Detail	Vendor	Payments	Counts	TotalP
2011	NATURAL RESOURCES	PROFESSIONAL SERVICES	MAILING SERVICES	AAA MAILING SERVICE INC	874.00	18	319866.29
2011	CONSERVATION	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	37000.00	18	319866.29
2011	NATURAL RESOURCES	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	2280.00	18	319866.29
2011	CONSERVATION	PROFESSIONAL SERVICES	MAILING SERVICES	AAA MAILING SERVICE INC	20310.18	18	319866.29
2011	JUDICIARY	SUPPLIES	REBILLABLE POSTAGE	AAA MAILING SERVICE INC	4554.28	18	319866.29
2011	OFFICE OF SECRETARY OF STATE	PROFESSIONAL SERVICES	MAILING SERVICES	AAA MAILING SERVICE INC	49193.60	18	319866.29
2011	INSURANCE, FIN INST AND PROF REGISTRATION	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	5215.73	18	319866.29
2011	OFFICE OF STATE TREASURER	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	41.80	18	319866.29
2011	JUDICIARY	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	5300.00	18	319866.29
2011	REVENUE	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	60000.00	18	319866.29
2011	TRANSPORTATION	PROFESSIONAL SERVICES	MAILING SERVICES	AAA MAILING SERVICE INC	3931.89	18	319866.29
2011	REVENUE	PROFESSIONAL SERVICES	MAILING SERVICES	AAA MAILING SERVICE INC	60000.00	18	319866.29
2011	TRANSPORTATION	PROFESSIONAL SERVICES	EXPRESS & FREIGHT SERVICES	AAA MAILING SERVICE INC	1607.44	18	319866.29
2011	SOCIAL SERVICES	SUPPLIES	REBILLABLE POSTAGE	AAA MAILING SERVICE INC	6000.00	18	319866.29
2011	HEALTH AND SENIOR SERVICES	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	40000.00	18	319866.29
2011	OFFICE OF STATE TREASURER	PROFESSIONAL SERVICES	MAILING SERVICES	AAA MAILING SERVICE INC	8557.37	18	319866.29
2011	ELEMENTARY AND SECONDARY EDUCATION	PROFESSIONAL SERVICES	EXPRESS & FREIGHT SERVICES	AAA MAILING SERVICE INC	10000.00	18	319866.29
2011	ELEMENTARY AND SECONDARY EDUCATION	SUPPLIES	POSTAGE	AAA MAILING SERVICE INC	5000.00	18	319866.29
2011	CONSERVATION	PROFESSIONAL SERVICES	PRINTING & BINDING SERVICES	ABC PRINTERS INC	157.20	10	954.20
2011	NATURAL RESOURCES	SUPPLIES	OFFICE SUPPLIES	ABC PRINTERS INC	131.33	10	954.20
2011	CONSERVATION	SUPPLIES	OFFICE SUPPLIES	ABC PRINTERS INC	27.85	10	954.20
2011	NATURAL RESOURCES	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ABC PRINTERS INC	11.00	10	954.20
2011	CONSERVATION	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ABC PRINTERS INC	55.70	10	954.20
2011	TRANSPORTATION	PROFESSIONAL SERVICES	OTHER BUSINESS SERVICES	ABC PRINTERS INC	8.00	10	954.20
2011	TRANSPORTATION	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ABC PRINTERS INC	194.46	10	954.20
2011	TRANSPORTATION	SUPPLIES	OFFICE SUPPLIES	ABC PRINTERS INC	315.38	10	954.20
2011	TRANSPORTATION	SUPPLIES	BUILDING REPAIR SUPPLIES	ABC PRINTERS INC	32.58	10	954.20
2011	TRANSPORTATION	REPAIR & MAINTENANCE SERVICES	HEAVY EQUIPMENT REPAIR & MAINTENANCE	ABC PRINTERS INC	20.70	10	954.20
2011	PUBLIC SAFETY	EQUIPMENT RENTAL & LEASES	OTHER EQUIPMENT RENTALS	ABSOPURE WATER CO	145.55	15	9466.80
2011	ELEMENTARY AND SECONDARY EDUCATION	SUPPLIES	OFFICE SUPPLIES	ABSOPURE WATER CO	14.99	15	9466.80
2011	OFFICE OF STATE AUDITOR	MISCELLANEOUS EXPENSES	AGENCY PROVIDED FOOD	ABSOPURE WATER CO	150.40	15	9466.80
2011	ELEMENTARY AND SECONDARY EDUCATION	SUPPLIES	OFFICE SUPPLIES	ABSOPURE WATER CO	706.42	15	9466.80
2011	PUBLIC SAFETY	MISCELLANEOUS EXPENSES	AGENCY PROVIDED FOOD	ABSOPURE WATER CO	419.05	15	9466.80
2011	ELEMENTARY AND SECONDARY EDUCATION	HOUSEKEEP & JANITOR SERVICES	WATER TREATMENT SERVICES	ABSOPURE WATER CO	4656.52	15	9466.80
2011	OFFICE OF STATE AUDITOR	EQUIPMENT RENTAL & LEASES	OTHER EQUIPMENT RENTALS	ABSOPURE WATER CO	83.88	15	9466.80
2011	ELEMENTARY AND SECONDARY EDUCATION	EQUIPMENT RENTAL & LEASES	OFFICE FURNITURE & EQUIPMENT RENTALS	ABSOPURE WATER CO	68.96	15	9466.80
2011	TRANSPORTATION	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ABSOPURE WATER CO	276.75	15	9466.80
2011	INSURANCE, FIN INST AND PROF REGISTRATION	EQUIPMENT RENTAL & LEASES	OTHER EQUIPMENT RENTALS	ABSOPURE WATER CO	83.88	15	9466.80
2011	JUDICIARY	FUEL & UTILITIES	WATER & SEWAGE	ABSOPURE WATER CO	2238.05	15	9466.80
2011	NATURAL RESOURCES	EQUIPMENT RENTAL & LEASES	OTHER EQUIPMENT RENTALS	ABSOPURE WATER CO	45.00	15	9466.80
2011	INSURANCE, FIN INST AND PROF REGISTRATION	SUPPLIES	OTHER ADMINISTRATIVE SUPPLIES	ABSOPURE WATER CO	359.35	15	9466.80
2011	NATURAL RESOURCES	SUPPLIES	OTHER ADMINISTRATIVE SUPPLIES	ABSOPURE WATER CO	200.00	15	9466.80
2011	NATURAL RESOURCES	EQUIPMENT RENTAL & LEASES	OFFICE FURNITURE & EQUIPMENT RENTALS	ABSOPURE WATER CO	18.00	15	9466.80
2011	MENTAL HEALTH	PROFESSIONAL SERVICES	OTHER HEALTH SERVICES	ACCESS INTERPRETERS LLC	297.92	17	196711.60
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	MEDICAL ASSIST SERVICES	ACCESS INTERPRETERS LLC	6023.00	17	196711.60
2011	MENTAL HEALTH	PROGRAM DISTRIBUTIONS	MENTAL HEALTH PAYMNTS-1099 YES	ACCESS INTERPRETERS LLC	2097.60	17	196711.60
